week,winner_team,winner_score,winner_rank,loser_team,loser_score,loser_rank
12,West Virginia,24,,Kansas St.,20,24
12,Utah State,26,,Wyoming,21,
12,Hawaii,21,,UNLV,7,
12,New Mexico St.,41,,UIW,28,
12,Iowa,23,20,Minnesota,19,8
12,Syracuse,49,,Duke,6,
12,Rice,31,,Middle Tenn.,28,
12,Washington St.,49,,Stanford,22,
12,Louisiana,37,,South Alabama,27,
12,Southern Miss,36,,UTSA,17,
12,Cincinnati,20,17,South Florida,17,
12,Air Force,38,,Colorado State,21,
12,LSU,58,1,Ole Miss,37,
12,Appalachian St.,56,25,Georgia State,27,
12,Oklahoma,34,10,Baylor,31,13
12,Louisville,34,,NC State,20,
12,Texas A&M,30,,South Carolina,6,
12,Oregon St.,35,,Arizona St.,34,
12,Utah,49,7,UCLA,3,
12,Boise State,42,21,New Mexico,9,
12,Oregon,34,6,Arizona,6,
12,USC,41,,California,17,
13,Ohio,66,,Bowling Green,24,
13,Eastern Mich.,45,,Northern Ill.,17,
13,Buffalo,49,,Toledo,30,
13,Miami (OH),20,,Akron,17,
13,Georgia Tech,28,,NC State,26,
13,Wyoming,17,,Colorado St.,7,
13,Ohio St.,28,2,Penn St.,17,8
13,East Carolina,31,,UConn,24,
13,Minnesota,38,10,Northwestern,22,
13,Auburn,52,15,Samford,0,
13,Iowa,19,17,Illinois,10,
13,Michigan St.,27,,Rutgers,0,
13,Iowa St.,41,22,Kansas,31,
13,UCF,34,,Tulane,31,
13,BYU,56,,Massachusetts,24,
13,Oklahoma St.,20,21,West Virginia,13,
13,Alabama,66,5,Western Caro.,3,
13,Kent St.,41,,Ball St.,38,
13,Virginia,55,,Liberty,27,
13,Air Force,44,,New Mexico,22,
13,Georgia St.,28,,South Alabama,15,
13,Notre Dame,40,16,Boston College,7,
13,Appalachian St.,35,24,Texas St.,13,
13,Arkansas St.,38,,Ga. Southern,33,
13,Kentucky,50,,UT Martin,7,
13,UAB,20,,Louisiana Tech,14,
13,Navy,35,,SMU,28,25
13,Baylor,24,14,Texas,10,
13,North Carolina,56,,Mercer,7,
13,Vanderbilt,38,,ETSU,0,
13,Charlotte,24,,Marshall,13,
13,Nebraska,54,,Maryland,7,
13,Western Ky.,28,,Southern Miss.,10,
13,Rice,20,,North Texas,14,
13,Michigan,39,13,Indiana,14,
13,Virginia Tech,28,,Pittsburgh,0,
13,Georgia,19,4,Texas A&M,13,
13,Southern California,52,23,UCLA,35,
13,Memphis,49,18,South Fla.,10,
13,Wisconsin,45,12,Purdue,24,
13,UNLV,38,,San Jose St.,35,
13,California,24,,Stanford,20,
13,Louisville,56,,Syracuse,34,
13,New Mexico St.,44,,UTEP,35,
13,Middle Tenn.,38,,Old Dominion,17,
13,Louisiana,53,,Troy,3,
13,La.-Monroe,45,,Coastal Carolina,42,
13,Fla. Atlantic,40,,UTSA,26,
13,Cincinnati,15,19,Temple,13,
13,FIU,30,,Miami (FL),24,
13,LSU,56,1,Arkansas,20,
13,Kansas St.,30,,Texas Tech,27,
13,Houston,24,,Tulsa,14,
13,Tennessee,24,,Missouri,20,
13,Mississippi St.,45,,Abilene Christian,7,
13,Wake Forest,39,,Duke,27,
13,Arizona St.,31,,Oregon,28,6
13,Oklahoma,28,9,TCU,24,
13,Washington St.,54,,Oregon St.,53,
13,Colorado,20,,Washington,14,
13,Utah,35,7,Arizona,7,
13,Nevada,35,,Fresno St.,28,
13,Boise St.,56,20,Utah St.,21,
13,Hawaii,14,,San Diego St.,11,
14,Ohio,52,,Akron,3,
14,Northern Ill.,17,,Western Mich.,14,
14,Mississippi St.,21,,Ole Miss,20,
14,Central Mich.,49,,Toledo,7,
14,Virginia,39,,Virginia Tech,30,24
14,Texas,49,,Texas Tech,24,
14,Ball St.,41,,Miami (OH),27,
14,Buffalo,49,,Bowling Green,7,
14,Kent St.,34,,Eastern Mich.,26,
14,Missouri,24,,Arkansas,14,
14,Iowa,27,17,Nebraska,24,
14,Boise St.,31,20,Colorado St.,24,
14,Memphis,34,18,Cincinnati,24,19
14,Washington,31,,Washington St.,13,
14,West Virginia,20,,TCU,17,
14,South Alabama,34,,Arkansas St.,30,
14,Appalachian St.,48,25,Troy,13,
14,UCF,34,,South Fla.,7,
14,Kentucky,45,,Louisville,13,
14,Indiana,44,,Purdue,41,
14,Tulsa,49,,East Carolina,24,
14,Marshall,30,,FIU,27,
14,Clemson,38,3,South Carolina,3,
14,Ohio St.,56,1,Michigan,27,13
14,Northwestern,29,,Illinois,10,
14,Georgia,52,4,Georgia Tech,7,
14,Coastal Carolina,24,,Texas St.,21,
14,Syracuse,39,,Wake Forest,30,
14,Liberty,49,,New Mexico St.,28,
14,Air Force,20,,Wyoming,6,
14,Charlotte,38,,Old Dominion,22,
14,Western Ky.,31,,Middle Tenn.,26,
14,Rice,30,,UTEP,16,
14,UNLV,33,,Nevada,30,
14,Temple,49,,UConn,17,
14,Michigan St.,19,,Maryland,16,
14,Boston College,26,,Pittsburgh,19,
14,Louisiana Tech,41,,UTSA,27,
14,Penn St.,27,10,Rutgers,6,
14,Duke,27,,Miami (FL),17,
14,Baylor,61,9,Kansas,6,
14,Auburn,48,15,Alabama,45,5
14,Fla. Atlantic,34,,Southern Miss.,17,
14,Wisconsin,38,12,Minnesota,17,8
14,Tennessee,28,,Vanderbilt,10,
14,Oregon,24,14,Oregon St.,10,
14,Notre Dame,45,16,Stanford,24,
14,Utah St.,38,,New Mexico,25,
14,UAB,26,,North Texas,21,
14,SMU,37,,Tulane,20,
14,Ga. Southern,38,,Georgia St.,10,
14,LSU,50,2,Texas A&M,7,
14,North Carolina,41,,NC State,10,
14,Kansas St.,27,,Iowa St.,17,23
14,Navy,56,,Houston,41,
14,Florida,40,11,Florida St.,17,
14,Utah,45,6,Colorado,15,
14,Louisiana,31,,La.-Monroe,30,
14,Oklahoma,34,7,Oklahoma St.,16,21
14,San Diego St.,13,,BYU,3,
14,Arizona St.,24,,Arizona,14,
14,California,28,,UCLA,18,
14,San Jose St.,17,,Fresno St.,16,
14,Hawaii,52,,Army West Point,31,
